date,title,source,category,url,summary,severity
2026-03-09,Múltiples vulnerabilidades en centro de administración de firewall de Cisco,INCIBE Avisos de Seguridad,Ciberseguridad,https://www.incibe.es/incibe-cert/alerta-temprana/avisos/multiples-vulnerabilidades-en-centro-de-administracion-de-firewall-de-cisco,,Alta
2026-03-09,Arkanix Stealer: a C++ & Python infostealer,Securelist (Kaspersky ICS/APT),Ciberseguridad Internacional,https://securelist.com/arkanix-stealer/119006/,"Introduction In October 2025, we discovered a series of forum posts advertising a previously unknown stealer, dubbed “Arkanix Stealer” by its authors. It operated under a MaaS (malware-as-a-service) model, providing users not only with the implant but also with access to a control panel featuring co…",Alta
2026-03-09,Divide and conquer: how the new Keenadu backdoor exposed links between major Android botnets,Securelist (Kaspersky ICS/APT),Ciberseguridad Internacional,https://securelist.com/keenadu-android-backdoor/118913/,"In April 2025, we reported on a then-new iteration of the Triada backdoor that had compromised the firmware of counterfeit Android devices sold across major marketplaces. The malware was deployed to the system partitions and hooked into Zygote – the parent process for all Android apps – to infect an…",Crítica
2026-03-09,The game is over: when “free” comes at too high a price. What we know about RenEngine,Securelist (Kaspersky ICS/APT),Ciberseguridad Internacional,https://securelist.com/renengine-campaign-with-hijackloader-lumma-and-acr-stealer/118891/,"We often describe cases of malware distribution under the guise of game cheats and pirated software. Sometimes such methods are used to spread complex malware that employs advanced techniques and sophisticated infection chains. In February 2026, researchers from Howler Cell announced the discovery o…",Alta
2026-03-09,Spam and phishing in 2025,Securelist (Kaspersky ICS/APT),Ciberseguridad Internacional,https://securelist.com/spam-and-phishing-report-2025/118785/,"The year in figures 44.99% of all emails sent worldwide and 43.27% of all emails sent in the Russian web segment were spam 32.50% of all spam emails were sent from Russia Kaspersky Mail Anti-Virus blocked 144,722,674 malicious email attachments Our Anti-Phishing system thwarted 554,002,207 attempts …",Crítica
2026-03-09,Stan Ghouls targeting Russia and Uzbekistan with NetSupport RAT,Securelist (Kaspersky ICS/APT),Ciberseguridad Internacional,https://securelist.com/stan-ghouls-in-uzbekistan/118738/,"Introduction Stan Ghouls (also known as Bloody Wolf) is an cybercriminal group that has been launching targeted attacks against organizations in Russia, Kyrgyzstan, Kazakhstan, and Uzbekistan since at least 2023. These attackers primarily have their sights set on the manufacturing, finance, and IT s…",Alta
2026-03-09,The Notepad++ supply chain attack — unnoticed execution chains and new IoCs,Securelist (Kaspersky ICS/APT),Ciberseguridad Internacional,https://securelist.com/notepad-supply-chain-attack/118708/,"UPD 11.02.2026: added recommendations on how to use the Notepad++ supply chain attack rules package in our SIEM system. Introduction On February 2, 2026, the developers of Notepad++, a text editor popular among developers, published a statement claiming that the update infrastructure of Notepad++ ha…",Alta
2026-03-09,#StopRansomware: Interlock,CISA Alerts (US-CERT),Ciberseguridad Internacional,https://www.cisa.gov/news-events/cybersecurity-advisories/aa25-203a,,Crítica
2026-03-09,Ransomware Actors Exploit Unpatched SimpleHelp Remote Monitoring and Management to Compromise Utility Billing Software Provider,CISA Alerts (US-CERT),Ciberseguridad Internacional,https://www.cisa.gov/news-events/cybersecurity-advisories/aa25-163a,,Crítica
2026-03-09,#StopRansomware: Medusa Ransomware,CISA Alerts (US-CERT),Ciberseguridad Internacional,https://www.cisa.gov/news-events/cybersecurity-advisories/aa25-071a,,Crítica
2026-03-09,NIST and CISA Release Draft Interagency Report on Protecting Tokens and Assertions from Tampering Theft and Misuse for Public Comment,CISA Known Exploited Vulnerabilities,Ciberseguridad Internacional,https://www.cisa.gov/news-events/alerts/2025/12/22/nist-and-cisa-release-draft-interagency-report-protecting-tokens-and-assertions-tampering-theft-and,,Crítica
